Position,Team,Points
1,Brazil,1533
2,Belgium,1384
3,Argentina,1346
4,France,1254
5,England,1179
6,Spain,1166
7,Italy,1162
8,Netherlands,1146
9,Portugal,1118
10,Denmark,1106
11,Germany,1054
12,Mexico,1040
13,Uruguay,1012
14,USA,1008
15,Croatia,989
16,Switzerland,976
17,Colombia,975
18,Senegal,969
19,Wales,947
20,Sweden,931
21,Peru,930
22,Morocco,889
23,Iran,880
24,Japan,858
25,Serbia,841
26,Poland,837
27,Ukraine,825
28,Korea Republic,786
29,Chile,777
30,Tunisia,776
31,Nigeria,737
32,Czech Republic,737
33,Austria,735
34,Costa Rica,732
35,Russia,727
36,Norway,714
37,Hungary,711
38,Cameroon,709
39,Australia,700
40,Egypt,688
41,Algeria,681
42,Turkiye,671
43,Canada,657
44,Ecuador,647
45,Scotland,636
46,Mali,635
47,Ireland,612
48,Greece,608
49,Qatar,604
50,Paraguay,603
51,Slovakia,603
52,Cote dlvoire,591
53,Saudi Arabia,583
54,Romania,575
55,Burkina Faso,549
56,Venezuela,548
57,Bosnia and Herzegovina,545
58,Northern Ireland,530
59,Finland,528
60,Ghana,520
61,Panama,516
62,Jamaica,507
63,Iceland,506
64,North Macedonia,495
65,Slovenia,493
66,Albania,462
67,Montenegro,458
68,South Africa,450
69,United Arab Emirates,445
70,Iraq,439
71,El Salvador,433
72,Cabo Verde,431
73,Congo DR,426
74,Bulgaria,424
75,Oman,423
76,Israel,422
77,Uzbekistan,413
78,China,410
79,Gabon,407
80,Honduras,405
81,Bolivia,404
82,Georgia,401
83,Guinea,401
84,Curacao,392
85,Bahrain,386
86,Jordan,383
87,Haiti,381
88,Zambia,381
89,Syria,379
90,Uganda,378
91,Benin,374
92,Armenia,374
93,Luxembourg,364
94,Palestine,364
95,Kyrgyz Republic,362
96,Belarus,354
97,Vietnam,347
98,Equatorial Guinea,347
99,Congo,341
100,Lebanon,339
101,Trinidad and Tobago,332
102,Kenya,331
103,New Zealand,330
104,India,323
105,Madagascar,311
106,Kosovo,305
107,Cyprus,302
108,Tajikistan,299
109,Estonia,295
110,Mauritania,293
111,Thailand,292
112,Korea DPR,289
113,Sierra Leone,289
114,Kazakhstan,283
115,Guinea-Bissau,281
116,Guatemala,272
117,Namibia,271
118,Mozambique,269
119,Niger,267
120,Libya,263
121,Malawi,253
122,Angola,252
123,Zimbabwe,251
124,Gambia,250
125,Faroe Islands,245
126,Comoros,245
127,Togo,245
128,Azerbaijan,242
129,Latvia,242
130,Sudan,240
131,Tanzania,230
132,Antigua abd Barbuda,229
133,Central African Republic,229
134,Philippines,227
135,Turkmenistan,224
136,Rwanda,223
137,Solomon Islands,221
138,Ethiopia,217
139,Nicaragua,198
140,Burundi,195
141,St. Kitts and Nevis,194
142,Lithuania,194
143,Suriname,190
144,Eswatini,188
145,Hong Kong,188
146,Lesotho,183
147,Malaysia,176
148,Kuwait,175
149,Botswana,175
150,Liberia,167
151,Dominican republic,164
152,Andorra,162
153,Yemen,140
154,Afghanistan,139
155,Indonesia,136
156,Maldives,135
157,Chinese Taipei,128
158,Myanmar,122
159,Singapore,118
160,New Caledonia,117
161,Papua New Guinea,111
162,Tahiti,111
163,Fiji,111
164,Vanuatu,110
165,South Sudan,110
166,Barbados,107
167,Cuba,105
168,Malta,105
169,Puerto Rico,104
170,Bermuda,103
171,Grenada,102
172,Guyana,98
173,St. Lucia,95
174,Cambodia,94
175,Belize,88
176,Nepal,88
177,Montserrat,82
178,Moldova,80
179,Mauritius,78
180,St. Vincent and the Grenadines,77
181,Chad,75
182,Macau,75
183,Laos,68
184,Mongolia,62
185,Dominica,60
186,Bhutan,59
187,Sao Tome and Principe,51
188,American Samoa,45
189,Cook Islands,44
190,Brunei Darussalam,38
191,Samoa,38
192,Bangladesh,38
193,Djibouti,36
194,Liechtenstein,36
195,Seychelles,34
196,Pakistan,33
197,Cayman Islands,27
198,Tonga,18
199,Timor-Leste,17
200,Somalia,17
201,Gibraltar,13
202,Eritrea,10
203,Aruba,8
204,Bahamas,8
205,Guam,4
206,Turks and Caicos Islands,0
207,Sri Lanka,0
208,US Virgin Islands,0
209,British Virgin Islands,0
210,Anguilla,0
211,San Marino,0
